bank,m,g,readout,method,metric,mean,sd,n_seeds
development,0.25,0.75,ALL,ols_std,N_long_C1,0.029635327925769672,0.017252695385707555,10
development,0.25,0.75,ALL,ridge,M,0.14663469997079234,0.020819516152284497,10
development,0.25,0.75,ALL,ridge,N,0.16910843549341403,0.011353705734445775,10
development,0.25,0.75,ALL,ridge,N_long_C1,0.025475422939738333,0.011720880673694924,10
development,0.25,0.75,CLS,ols_std,M,0.07351777003414653,0.0091459690390138,10
development,0.25,0.75,CLS,ols_std,N,0.0029087468725194385,0.032101777261849145,10
development,0.25,0.75,CLS,ols_std,N_long_C1,0.01941726570292049,0.008184048235622196,10
development,0.25,0.75,CLS,ridge,M,0.05391404465088737,0.00750597070717474,10
development,0.25,0.75,CLS,ridge,N,0.006591606510797833,0.028969475305352904,10
development,0.25,0.75,CLS,ridge,N_long_C1,0.018237564968258242,0.0053384010377215225,10
development,0.25,0.75,J,ols_raw,M,0.07351777003416535,0.009145969038984018,10
development,0.25,0.75,J,ols_raw,N,0.0029087468725245876,0.03210177726194339,10
